account,fear_trades,fear_win_rate,fear_avg_pnl,greed_trades,greed_win_rate,greed_avg_pnl,contrarian_delta,pnl_delta,behavior_type,fear_wins,greed_wins,total_pnl,total_trades,win_rate
0x4f93fead39b70a1824f981a54d4e55b278e9f760,1489,0.4210879785090665,49.11913083411685,4825,0.3372020725388601,32.28878595523316,0.0838859059702064,16.830344878883693,Contrarian,0,0,308975.869716,7584,0.3603639240506329
0x513b8629fe877bb581bf244e326a047b249c4ff1,6645,0.381640331075997,50.811617979082015,2614,0.3136954858454476,55.74867501262433,0.06794484523054939,-4.937057033542317,Contrarian,0,0,840422.555216,12236,0.40119320039228507
0x6d6a4b953f202f8df5bed40692e7fd865318264a,494,0.24898785425101214,8.254286779352228,412,0.6674757281553398,250.95989849514564,-0.41848787390432773,-242.7056117157934,Momentum,0,1,108731.216772,975,0.4317948717948718
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,820,0.44146341463414634,-29.560673489024392,638,0.2946708463949843,710.9644485517242,0.14679256823916204,-740.5251220407486,Contrarian,0,0,429355.565915,1590,0.34591194968553457
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,658,0.5638297872340425,515.0276713389057,720,0.09305555555555556,89.06013391388889,0.470774231678487,425.96753742501687,Contrarian,1,0,403011.504159,1430,0.3062937062937063
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2039,0.8082393330063756,36.14032536880824,6434,0.8329188685110351,47.47250394622319,-0.02467953550465951,-11.33217857741495,Contrarian,1,1,379095.406711,9893,0.8108763772364298
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1388,0.46902017291066284,5.163951333573487,86,0.5232558139534884,93.443309,-0.05423564104282558,-88.2793576664265,Momentum,0,1,14900.443047,1559,0.45221295702373315
0x8170715b3b381dffb7062c0298972d4727a0a63b,1866,0.2759914255091104,81.54830550428724,1709,0.5318899941486249,-220.04944444411936,-0.25589856863951455,301.5977499484066,Momentum,0,1,-167621.124781,4601,0.38274288198217776
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,96,0.3020833333333333,-51.37194708333334,384,0.375,148.4573768515625,-0.07291666666666669,-199.82932393489583,Momentum,0,0,65513.657906,1911,0.33019361590790164
0x8477e447846c758f5a675856001ea72298fd9cb5,2117,0.3023145961265942,4.6240461530467645,10350,0.2757487922705314,4.178308777198067,0.02656580385606283,0.4457373758486973,Contrarian,0,0,43917.008976,14998,0.26196826243499133
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,226,0.14601769911504425,15.159119247787611,2504,0.33466453674121405,49.43072134345048,-0.1886468376261698,-34.27160209566287,Momentum,0,0,126578.942134,3052,0.2853866317169069
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,3182,0.3108108108108108,5.1606676656191075,7387,0.36428861513469607,9.645553300527954,-0.05347780432388527,-4.484885634908847,Momentum,0,0,106302.875256,15605,0.3457866068567767
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,203,0.2413793103448276,43.112076103448274,360,0.5027777777777778,164.1496335611111,-0.26139846743295014,-121.03755745766283,Momentum,0,1,67845.619531,563,0.40852575488454707
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,4313,0.2960816137259448,14.6511813069789,7625,0.3383606557377049,235.95663313049178,-0.04227904201176008,-221.30545182351287,Momentum,0,0,2143382.597689,14733,0.3371343243059798
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1496,0.44719251336898397,180.91631761096255,828,0.13526570048309178,-93.34499482246378,0.3119268128858922,274.2613124334263,Contrarian,0,0,220519.061853,2641,0.32752745172283226
